,file_a_name,file_b_name,class_a_name,class_b_name,file_a_path,file_b_path,is_equal
0,2058003688.tif,2058003922.tif,test_request_form,test_request_form,test_request_form/2058003688.tif,test_request_form/2058003922.tif,1
1,2058003688.tif,2084619658_9659.tif,test_request_form,philip_morris_media_department,test_request_form/2058003688.tif,philip_morris_media_department/2084619658_9659.tif,0
2,2058003684_2058003685.tif,2058003961.tif,test_request_form,test_request_form,test_request_form/2058003684_2058003685.tif,test_request_form/2058003961.tif,1
3,2058003684_2058003685.tif,2069715610.tif,test_request_form,cigarrete_specification,test_request_form/2058003684_2058003685.tif,cigarrete_specification/2069715610.tif,0
4,2058003689_2058003690.tif,2058003684_2058003685.tif,test_request_form,test_request_form,test_request_form/2058003689_2058003690.tif,test_request_form/2058003684_2058003685.tif,1
5,2058003689_2058003690.tif,95824411.tif,test_request_form,customer_ledger,test_request_form/2058003689_2058003690.tif,customer_ledger/95824411.tif,0
6,2058003922.tif,2058003684_2058003685.tif,test_request_form,test_request_form,test_request_form/2058003922.tif,test_request_form/2058003684_2058003685.tif,1
7,2058003922.tif,528050534+-0534.tif,test_request_form,rjr,test_request_form/2058003922.tif,rjr/528050534+-0534.tif,0
8,2058003944.tif,2058003684_2058003685.tif,test_request_form,test_request_form,test_request_form/2058003944.tif,test_request_form/2058003684_2058003685.tif,1
9,2058003944.tif,2057477664.tif,test_request_form,material_barcode,test_request_form/2058003944.tif,material_barcode/2057477664.tif,0
10,2058003961.tif,2058003684_2058003685.tif,test_request_form,test_request_form,test_request_form/2058003961.tif,test_request_form/2058003684_2058003685.tif,1
11,2058003961.tif,528026454+-6454.tif,test_request_form,rjr,test_request_form/2058003961.tif,rjr/528026454+-6454.tif,0
12,0000056590.tif,0001464047.tif,document_summary,document_summary,document_summary/0000056590.tif,document_summary/0001464047.tif,1
13,0000056590.tif,95824282.tif,document_summary,customer_ledger,document_summary/0000056590.tif,customer_ledger/95824282.tif,0
14,0000063251.tif,0000064142.tif,document_summary,document_summary,document_summary/0000063251.tif,document_summary/0000064142.tif,1
15,0000063251.tif,80020829.tif,document_summary,hazleton_laboratories_america_inc,document_summary/0000063251.tif,hazleton_laboratories_america_inc/80020829.tif,0
16,0000961138.tif,0000064142.tif,document_summary,document_summary,document_summary/0000961138.tif,document_summary/0000064142.tif,1
17,0000961138.tif,528006763+-6763.tif,document_summary,rjr,document_summary/0000961138.tif,rjr/528006763+-6763.tif,0
18,0000062658.tif,0001464035.tif,document_summary,document_summary,document_summary/0000062658.tif,document_summary/0001464035.tif,1
19,0000062658.tif,88131943.tif,document_summary,p_lorillard_company_accts_rec_copy,document_summary/0000062658.tif,p_lorillard_company_accts_rec_copy/88131943.tif,0
20,0000064142.tif,0000064094.tif,document_summary,document_summary,document_summary/0000064142.tif,document_summary/0000064094.tif,1
21,0000064142.tif,ti31689143.tif,document_summary,fannon_luers_associates_invoice,document_summary/0000064142.tif,fannon_luers_associates_invoice/ti31689143.tif,0
22,0000064129.tif,0000063251.tif,document_summary,document_summary,document_summary/0000064129.tif,document_summary/0000063251.tif,1
23,0000064129.tif,95602396.tif,document_summary,customer_ledger,document_summary/0000064129.tif,customer_ledger/95602396.tif,0
24,0001464047.tif,0000064142.tif,document_summary,document_summary,document_summary/0001464047.tif,document_summary/0000064142.tif,1
25,0001464047.tif,2050627319_2050627320.tif,document_summary,phillip_morris_test_distribution,document_summary/0001464047.tif,phillip_morris_test_distribution/2050627319_2050627320.tif,0
26,0000063530.tif,0000064094.tif,document_summary,document_summary,document_summary/0000063530.tif,document_summary/0000064094.tif,1
27,0000063530.tif,2031294573.tif,document_summary,cigarrete_specification,document_summary/0000063530.tif,cigarrete_specification/2031294573.tif,0
28,0000061197.tif,0000061196.tif,document_summary,document_summary,document_summary/0000061197.tif,document_summary/0000061196.tif,1
29,0000061197.tif,03724741.tif,document_summary,p_lorillard_company_form,document_summary/0000061197.tif,p_lorillard_company_form/03724741.tif,0
30,0000064094.tif,0000063530.tif,document_summary,document_summary,document_summary/0000064094.tif,document_summary/0000063530.tif,1
31,0000064094.tif,88132063.tif,document_summary,p_lorillard_company_accts_rec_copy,document_summary/0000064094.tif,p_lorillard_company_accts_rec_copy/88132063.tif,0
32,0001464035.tif,0000061196.tif,document_summary,document_summary,document_summary/0001464035.tif,document_summary/0000061196.tif,1
33,0001464035.tif,95602622.tif,document_summary,customer_ledger,document_summary/0001464035.tif,customer_ledger/95602622.tif,0
